userId,listing_id,n_host_listings_total,n_host_listings_different_location
374678242,680493240929634027,1,0
516861653,900782492942049252,2,0
516861653,900782492942049252,2,0
255286273,851540609873088665,1,0
84002975,45710952,1,0
43962931,672701884316649347,2,0
43962931,672701884316649347,2,0
478888441,737546593017953183,1,0
101270461,664787833533152004,1,0
554042871,1163147340954634533,1,0
474050117,689284704312103579,2,0
474050117,689284704312103579,2,0
59175229,30007668,2,0
59175229,30007668,2,0
466612064,1034129826750199916,2,0
466612064,1034129826750199916,2,0
189725048,25099656,1,0
147730386,1154404439557684450,2,1
147730386,1145673313878751158,2,1
471713001,963893314652078916,1,0
464099426,648582390403257409,4,0
464099426,942603801070283409,4,0
464099426,942603801070283409,4,0
464099426,648582390403257409,4,0
74938109,594224690597868226,2,0
74938109,594224690597868226,2,0
78736558,995951449454169838,1,0
5804320,34553387,2,0
5804320,34553387,2,0
477833149,1096594645894508984,1,0
4380856,45867845,1,0
454749398,630584487543077708,1,0
26272770,44138659,2,0
26272770,44138659,2,0
29580853,39469257,2,0
29580853,39469257,2,0
221390397,1027887448793263671,1,0
103605233,828388046756245602,2,0
103605233,828388046756245602,2,0
25237044,732124946483310980,2,0
25237044,732124946483310980,2,0
117019787,37773921,1,0
126508365,27782016,3,1
126508365,29909535,3,2
126508365,27782016,3,1
434142127,53610822,1,0
387574232,48070435,1,0
509034080,864610785154404501,1,0
507859620,876265139094967485,2,0
507859620,876265139094967485,2,0
81709873,34371884,1,0
460640851,633605941095229838,3,0
460640851,633606009988035336,3,0
460640851,633605941095229838,3,0
415355586,974971227049711318,4,2
415355586,781969429832277934,4,2
415355586,974971227049711318,4,2
415355586,781969429832277934,4,2
572920984,1153801179462478411,3,1
572920984,1137338292202258316,3,2
572920984,1153801179462478411,3,1
67335090,602836189501197272,1,0
37596206,1010160893334595394,1,0
477485367,1008331466955740336,1,0
25445686,13358141,2,0
25445686,13358141,2,0
456359542,622649158429611961,2,0
456359542,622649158429611961,2,0
84759163,747822276934693182,2,0
84759163,747822276934693182,2,0
88849559,850329518209256722,4,2
88849559,48273520,4,3
88849559,41865949,4,3
88849559,850329518209256722,4,2
408431002,1156130591151280882,2,0
408431002,1035785706556590556,2,0
579148226,1164836560660083619,1,0
214892970,700303535190373649,1,0
162578514,1169681163887684898,1,0
137829553,915522644572409207,2,0
137829553,915522644572409207,2,0
22632494,1005429262057641139,2,0
22632494,1005429262057641139,2,0
46090147,810976070140247937,1,0
351575956,997161366143380214,2,0
351575956,997161366143380214,2,0
62953929,763716215352956513,1,0
551908103,1051111486302035157,1,0
164380242,34343498,1,0
89378233,1042873376523270586,1,0
101252448,902146032079027688,2,0
101252448,902146032079027688,2,0
540384176,1040156742634237568,2,0
540384176,1040156742634237568,2,0
226231467,572731910790507780,1,0
545303658,1019122490185250560,2,0
545303658,1019122490185250560,2,0
187723740,729073285439649319,1,0
97671176,619070849684682183,1,0
201565231,798549353829313260,2,0
201565231,798549353829313260,2,0
50254143,1168466304408303000,1,0
468097041,1011832581009926923,1,0
534207126,967497642056162681,1,0
69424352,665522928753218909,1,0
178507299,887294067849577995,1,0
286114453,927733005771547312,2,0
286114453,927733005771547312,2,0
199119251,52223437,2,0
199119251,52223437,2,0
486616275,754357422754895195,1,0
430803557,53213319,2,0
430803557,53213319,2,0
120142978,993545590058782553,1,0
528834474,947135622161706715,2,0
528834474,947135622161706715,2,0
435805890,870306112161111143,3,0
435805890,1138855300275340581,3,0
435805890,870306112161111143,3,0
497396493,1135822446711862238,1,0
289179973,50441054,1,0
522825052,924896967715678106,1,0
529975020,995262412656519222,1,0
461254925,771154589972058322,2,0
461254925,771154589972058322,2,0
82420581,47392751,2,0
82420581,47392751,2,0
520019137,913793888724447168,1,0
201390263,49161502,1,0
122934499,833151454979562297,1,0
7488363,43807202,1,0
25769952,869738990636710572,1,0
533872055,967542503557747287,2,0
533872055,967542503557747287,2,0
231513914,43869725,1,0
505582034,847964650883278943,1,0
20168534,694319427307634430,2,0
20168534,694319427307634430,2,0
536051837,975588506613344124,1,0
89394538,18694496,1,0
30593172,52638547,2,0
30593172,52638547,2,0
525274953,934039297432514711,2,0
525274953,934039297432514711,2,0
81733111,1145195555759276906,1,0
547315130,1028618384479615881,1,0
444767020,591867467731311830,1,0
88024677,834846322135555634,2,0
88024677,834846322135555634,2,0
149009841,44417228,1,0
74512022,41878059,2,0
74512022,41878059,2,0
273600369,45256744,1,0
352564833,44001252,1,0
95623546,593477703569564903,2,0
95623546,593477703569564903,2,0
289301278,704931779906803922,3,1
289301278,816169899232440513,3,2
289301278,704931779906803922,3,1
420870305,996328524082224403,3,2
420870305,950276103360537936,3,2
420870305,1090474366383994975,3,2
437035656,1018012354989027903,1,0
225494510,32334291,2,0
